,texts
0,"Приоткрываем двери клуба Донов «Подслушано»! 
 
Внутри вас уже ждёт уютная атмосфера, возможность комментировать, бесплатный оригинальный стикерпак с Оленем (подробнее в записях для Донов) и приоритетное рассмотрение откровений. 
 
Поддержи «Подслушано», сделай себе приятно 😎"
1,"Не знаю, зачем я это делаю, но недавно зарегистрировалась на сайте знакомств под именем девушки моего бывшего мужчины. Опубликовала её фото и её номер телефона. Завожу от её имени знакомства с мужчинами и прошу их позвонить или написать в мессенджер сообщение. И ведь действительно и звонят, и пишут. Номер её знаю от её (моего) мужчины. Он когда-то уехал на три месяца зарабатывать нам на свадьбу и остался там… Уже как два года. Это моя маленькая месть. Пусть думает, что девушка не уж и честна с ним.

#Подслушано_месть@overhear"
2,"Последние два года страдаю от панических атак. И как же ужасно себя ощущаешь, когда ты на работе или даже просто делаешь маникюр, и внезапно появляется приступ паники. Сердце так быстро бьётся, словно остановится, тремор по всему телу, боишься сойти с ума, тебя тошнит, руки трясутся, не можешь дышать и просто начинаешь реветь и истерить. Жутко неудобно перед другими людьми, не знаешь, как объяснить, и смотрят, словно у тебя сдвиг по фазе. Выпила хреновый кофе — паника; устала, не выспалась или голодная — паника, ругаешься с парнем — паника. Избегаю ситуаций, которые могут спровоцировать, хотя по характеру боевая, никогда не ныла и не распускала сопли."
3,"Читаю Подслушано и замечаю, что 99% историй, где партнёр нахватал огромных долгов, поступил подло с семьёй, бросил ребёнка — это мужчина. Не слышала в своей жизни историй, что женщина ищет себя или пропивает всё, а муж тянет семью и ребёнка. Маньяки, игроманы в подавляющем большинстве мужчины. Практически всегда обуза, ненужный балласт — в мужском обличии. Это уже какая-то нездоровая норма.

#Подслушано_наблюдения@overhear"
4,"У меня очень хороший парень: помогает по дому, когда я прошу; постоянно работает, чтобы снимать для нас квартиру; заботится обо мне; во время секса очень нежен. Но я настолько ревнивая, что дело доходит до паранои. Не могу перестать читать его телефон (где никогда ничего плохого не нахожу). Смотрю его звонки, смски, соцсети. Слежу за тем, с кем стоят его будущие смены. Считаю время, за которое он добирается до дома. Знаю, что так потеряю его, но не могу иначе.

#Подслушано_ревность@overhear"
5,"Первый мой секс случился в 16 лет. Ему было 23. Видела его два раза, потом по домашнему перезванивались, он пригласил к себе. В тот день у меня была температура 39,3, но я хотела к нему приехать, поэтому пошла в школу, проспала там в ознобе все уроки. Пришла домой, сказала родителям, что едем с классом в театр. Взяла 100 рублей на дорогу, он встретил в метро, приехали к нему, выпили по бокалу пива, меня развезло, и всё случилось. Он в шоке, посадил меня на такси, дал 1000 рублей и больше не звонил. 

#Подслушано_пошлое@overhear"
6,"С детства была полненькой, и бабушка, чтобы меня стимулировать на похудение, называла ""уродом"", ""жирдяйкой"", которую никто замуж не возьмет"". Так сильно комплексовала, что до 16 лет почти ни с кем не общалась. Потом познакомилась с одной девчонкой, которая дала мне знатного леща, когда я сказала, что толстая. Рассказала, как видит меня со стороны. Спасибо ей, самооценку подняла! Пусть я всё ещё полненькая, но себя люблю и работаю над фигурой! А ещё я вышла-таки замуж и есть дочь! 

#Подслушано_бабушки@overhear"
7,"Недавно поняла, что мама моего мужа — типичная ""яжемать"". Я всё время пыталась понять, почему он, когда виноват передо мной, ходит с наглым лицом и не считает нужным извиниться. На днях, когда его мама была в гостях, он не пришёл ночевать. Утром я начала его отчитывать за его поступок, за то, что я волновалась, за то, что не отвечал телефон. И мама начала за него вступаться, что очень меня взбесило. Я вышла из себя, кричала.
В итоге теперь я должна извиниться перед его матерью. А в разговорах между собой меня назвали ущербной. Собираю вещи и ребёнка. Одного не могу понять: как столько лет я не замечала этого и не могла увидеть зависимости его блядского поведения и одобрения его мамочки, чтобы он ни сделал.

#Подслушано_семья@overhear"
8,"Нахожусь в полной растерянности и противоречивости чувств. Переехала недавно вслед за своим молодым человеком (он айтишник) в Швейцарию. Сама пока не работаю, учу язык. Всё красиво, нравится, хоть и дорого (за исключением кредитов).
Вот мой парень и решил реализовать свою детскую мечту — взял кредит под 3% и купил Гелендваген за 130 тысяч франков. Кредит дешёвый, но половина денег теперь уходит на его погашение. Дороже квартиры! И бросать его жалко, и как с неадекватом жить — тоже не знаю."
9,"Последние три года общалась с давним знакомым только по мессенджеру, без встреч. Он моряк, ему поболтать в рейсе в радость, а я в декрете, тоже пообщаться с кем-то хочется. Про мужа и сына рассказывала, а он — про свои несостоявшиеся отношения.
В итоге после рейса пригласил музыку в баре послушать, в процессе общения узнал, что я немного беременна, и после этого вечера всякие контакты оборвал, кинул в чс. Одного не пойму: он что, реально на что-то рассчитывал эти три года или я чего-то не понимаю? Муж у меня, ребёнок…

#Подслушано_странное@overhear"
10,"Я ударил свою девушку. Как оказалось, просто так. Мне попался в руки её телефон, и я нашёл двухдневную переписку с парнем. Ничего конкретного, но я взбесился, озверел. Выпил алкоголя и отправился разбираться. Она спокойно пошла со мной на квартиру, думала, что мы всё спокойно обсудим... Она думала, что у неё будет время, но как только мы зашли, я её ударил. Она умоляла позвонить этому парню, и что я все пойму, кричала, что буду очень жалеть, но я не слушал. Я просто трепал, дёргал её — размеренно, с чувством, с каким-то маниакальным удовольствием.
В какой-то момент ей удалось вырваться. Я побежал за ней на улицу, а там проходила толпа парней. Она начала умолять их спасти её, и им это удалось. Благодарен им, если честно. Отхватил по роже, а девушка убежала.
На следующий день я дозвонился до того парнишки. Он про меня не знал (я был её женихом), потому что их семьи дружили, а они из весьма специфического места обитания. В общем, она не говорила ему про меня, чтобы там не пошли слухи. Сам он мне сказал, что не раз предлагать ей встречаться, но она отказывала упорно. Она ни разу не давала ему повода думать, что благосклонна к нему — только друзья и точка. И я просто самый конченый человек на Земле.

#Подслушано_ебанько@overhear"
11,"До появления соцсетей и мессенджеров, у мобильного оператора подключил услугу ""Флирт"". Познакомился с девушкой, полгода переписки, встреча, через год женился на ней. Но она предупредила о том, что не сможет рожать, а я подумал, мол, мало ли, ей ведь только 18. Нам уже по 30, детей нет. Хочется быть отцом. Мысли о разводе мелькают всё чаще, но жалко жену, а такое будущее напрягает.

#Подслушано_семья@overhear"
12,"Парень моей подруги попал в ДТП — собирали по косточкам, ходить не будет. Она, не задумываясь, переехала к его родителям. Помогала год. Месяц назад у отца этого парня случился инсульт. И она сломалась... Я убедила её уйти и не взваливать чужие кресты себе на плечи. Мне надоело видеть её бледной, заплаканной, похудевшей до костей. Это я приехала забирать её вещи. Это я отправила её к психотерапевту, чтобы избавить от чувства вины. И мне не стыдно.

#Подслушано_дружба@overhear"
13,"Пожилой сосед по коммуналке любил освежиться после работы. Он выходил на кухню с голым торсом, растопыривал над раковиной свои волосатые подмыхи и начинал с упоением их полоскать, бурно брызгаясь во все стороны. Встать он старался так, чтобы брызги летели на присутствующих в кухне. В ответ на возмущения хмыкал и плескался ещё яростнее.

#Подслушано_соседи@overhear"
